t,ang,vel,E,tou,act,fac,opt,power,coord
0,-0.349066,0,-0.927931,0,0,1,236.087,0,q3
0.0005,-0.349068,-0.00906825,-0.932543,-9.75255,-0.0413377,0.999308,236.087,0.0884385,q3
0.001,-0.349077,-0.0277542,-0.937155,-19.0928,-0.0810434,0.997882,236.088,0.529906,q3
0.0015,-0.349097,-0.0556615,-0.941767,-28.0198,-0.11919,0.995752,236.089,1.55962,q3
0.002,-0.349134,-0.0923882,-0.946379,-36.5343,-0.155846,0.99295,236.091,3.37534,q3
0.0025,-0.349191,-0.137528,-0.95099,-44.6388,-0.191078,0.989505,236.094,6.1391,q3
0.003,-0.349273,-0.190674,-0.955602,-52.3373,-0.224949,0.98545,236.098,9.97938,q3
0.0035,-0.349383,-0.251418,-0.960214,-59.6351,-0.257521,0.980816,236.104,14.9934,q3
0.004,-0.349525,-0.319353,-0.964826,-66.5388,-0.288849,0.975634,236.111,21.2494,q3
0.0045,-0.349703,-0.394075,-0.969438,-73.0559,-0.318991,0.969936,236.121,28.7895,q3
0.005,-0.34992,-0.475186,-0.972619,-79.1965,-0.348005,0.963752,236.132,37.633,q3
0.0055,-0.350179,-0.562247,-0.962137,-84.8779,-0.375534,0.957119,236.145,47.7223,q3
0.006,-0.350483,-0.654709,-0.951654,-90.0551,-0.401366,0.950077,236.161,58.9599,q3
0.0065,-0.350835,-0.75202,-0.941172,-94.7521,-0.425584,0.942672,236.18,71.2555,q3
0.007,-0.351236,-0.853654,-0.930689,-98.9913,-0.448261,0.934944,236.2,84.5043,q3
0.0075,-0.351689,-0.959104,-0.920206,-102.796,-0.469464,0.926934,236.224,98.5918,q3
0.008,-0.352196,-1.06789,-0.909724,-106.188,-0.489259,0.91868,236.25,113.397,q3
0.0085,-0.352758,-1.17955,-0.899241,-109.191,-0.507708,0.910219,236.279,128.796,q3
0.009,-0.353376,-1.29366,-0.888759,-111.827,-0.524872,0.901585,236.311,144.665,q3
0.0095,-0.354052,-1.40979,-0.878276,-114.117,-0.540808,0.892813,236.346,160.882,q3
0.01,-0.354786,-1.52758,-0.855368,-116.073,-0.555516,0.883932,236.384,177.311,q3
0.0105,-0.355579,-1.64644,-0.779339,-117.323,-0.567138,0.874988,236.424,193.165,q3
