t,ang1,ang2,ang3,ang4,v1,v2,v3,v4,TA,TK,TH,TspA,TspK,TspH,PA,PK,PH,spPA,spPK,spPH,spEA,spEK,spEH,y,vx,vy,Fy,totE
0,0.523599,-0.872665,0.349066,-0.349066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10019,0,0,39.8702,863.458
0.0005,0.523605,-0.872675,0.349071,-0.349068,0.0239861,-0.040296,0.0232555,-0.00906825,-4.67357,-0.0596176,-9.7217,0,0,0,0.188326,-0.00138644,0.0881588,0,0,0,0,0,0,1.10018,-0.000126295,-0.00480256,-6.69523,863.458
0.001,0.523622,-0.872705,0.349091,-0.349077,0.0449009,-0.0801395,0.0557023,-0.0277542,-9.10472,-0.110998,-19.0347,0,0,0,0.729648,-0.00618287,0.528292,0,0,0,0,0,0,1.10018,-0.000242477,-0.00988886,-50.9442,863.459
0.0015,0.523649,-0.872755,0.349128,-0.349097,0.0628533,-0.119522,0.0969508,-0.0556615,-13.3056,-0.154602,-27.9377,0,0,0,1.59031,-0.0149888,1.55505,0,0,0,0,0,0,1.10017,-0.000348678,-0.0152447,-92.9715,863.46
0.002,0.523685,-0.872824,0.349189,-0.349134,0.0779568,-0.158439,0.146608,-0.0923882,-17.2879,-0.190822,-36.4314,0,0,0,2.73907,-0.0279761,3.36583,0,0,0,0,0,0,1.10017,-0.000445102,-0.0208565,-132.869,863.462
0.0025,0.523727,-0.872913,0.349276,-0.349191,0.090328,-0.196891,0.20428,-0.137528,-21.0624,-0.219994,-44.518,0,0,0,4.147,-0.0449403,6.12249,0,0,0,0,0,0,1.10015,-0.000532019,-0.0267113,-170.726,863.466
0.003,0.523775,-0.873021,0.349395,-0.349273,0.100085,-0.234881,0.269571,-0.190674,-24.6398,-0.242399,-52.2016,0,0,0,5.78742,-0.0653438,9.95349,0,0,0,0,0,0,1.10014,-0.000609753,-0.0327964,-206.628,863.473
0.0035,0.523826,-0.873148,0.349547,-0.349383,0.107348,-0.272412,0.342088,-0.251418,-28.0299,-0.258273,-59.4871,0,0,0,7.63568,-0.0883521,14.9561,0,0,0,0,0,0,1.10012,-0.000678676,-0.0391001,-240.659,863.482
0.004,0.523881,-0.873293,0.349738,-0.349525,0.112235,-0.309489,0.421439,-0.319353,-31.2421,-0.267809,-66.3812,0,0,0,9.66909,-0.112865,21.199,0,0,0,0,0,0,1.1001,-0.000739195,-0.0456108,-272.9,863.495
0.0045,0.523938,-0.873457,0.34997,-0.349703,0.114864,-0.346116,0.507234,-0.394075,-34.2854,-0.271105,-72.8912,0,0,0,11.8667,-0.137514,28.7246,0,0,0,0,0,0,1.10008,-0.000791753,-0.0523177,-303.429,863.513
0.005,0.523996,-0.873639,0.350246,-0.34992,0.11535,-0.382294,0.599088,-0.475186,-37.1684,-0.270577,-79.0272,0,0,0,14.2093,-0.162099,37.5526,0,0,0,0,0,0,1.10005,-0.000836819,-0.0592101,-332.315,863.536
