time,/ap
0,0.000275568
0.00218187,0.000194623
0.00436374,0.000113678
0.0065456,0.000107404
0.00872747,0.00010113
0.0109093,9.6109e-05
0.0130912,9.1088e-05
0.0152731,8.87496e-05
0.0174549,8.64112e-05
0.0196368,9.18725e-05
0.0218187,9.73338e-05
0.0240005,9.86524e-05
0.0261824,9.99711e-05
0.0283643,0.000107511
0.0305461,0.00011505
0.032728,0.00010035
0.0349099,8.56504e-05
0.0370918,7.44853e-05
0.0392736,6.33201e-05
0.0414555,9.3347e-05
0.0436374,0.000123374
0.0458192,8.34466e-05
0.0480011,4.35192e-05
0.050183,3.9375e-05
0.0523648,3.52308e-05
0.0545467,5.38457e-05
0.0567286,7.24607e-05
0.0589104,7.28737e-05
0.0610923,7.32867e-05
0.0632742,7.67831e-05
0.065456,8.02795e-05
0.0676379,8.70806e-05
0.0698198,9.38816e-05
0.0720016,8.20603e-05
0.0741835,7.0239e-05
0.0763654,8.01549e-05
0.0785472,9.00709e-05
0.0807291,9.52889e-05
0.082911,0.000100507
0.0850928,0.000110388
0.0872747,0.000120269
0.0894566,0.000135999
0.0916384,0.000151728
0.0938203,0.000177509
0.0960022,0.00020329
0.098184,0.000228719
0.100366,0.000254147
0.102548,0.000264759
0.10473,0.000275372
0.106912,0.000288222
0.109093,0.000301072
0.111275,0.000311753
0.113457,0.000322435
0.115639,0.000322877
0.117821,0.000323319
0.120003,0.000329739
0.122185,0.000336159
0.124366,0.000420721
0.126548,0.000505283
0.12873,0.000662526
0.130912,0.000819768
0.133094,0.00098474
0.135276,0.00114971
0.137458,0.00134543
0.13964,0.00154115
0.141821,0.00179306
0.144003,0.00204497
0.146185,0.00256847
0.148367,0.00309197
0.150549,0.00422582
0.152731,0.00535968
0.154913,0.00693026
0.157094,0.00850084
0.159276,0.0722768
0.161458,0.136053
0.16364,0.564167
0.165822,0.99228
0.168004,0.993665
0.170186,0.995049
0.172368,0.996432
0.174549,0.997815
0.176731,0.998401
0.178913,0.998987
0.181095,0.999082
0.183277,0.999178
0.185459,0.99926
0.187641,0.999343
0.189822,0.999421
0.192004,0.999499
0.194186,0.999555
0.196368,0.999611
0.19855,0.999648
0.200732,0.999685
0.202914,0.999712
0.205096,0.999739
0.207277,0.999759
0.209459,0.999779
0.211641,0.999793
0.213823,0.999808
0.216005,0.999818
0.218187,0.999828
0.220369,0.999836
0.222551,0.999843
0.224732,0.999849
0.226914,0.999855
0.229096,0.999859
0.231278,0.999864
0.23346,0.999867
0.235642,0.999871
0.237824,0.999874
0.240005,0.999877
0.242187,0.99988
0.244369,0.999883
0.246551,0.999887
0.248733,0.999891
0.250915,0.999896
0.253097,0.999901
0.255279,0.999909
0.25746,0.999917
0.259642,0.999918
0.261824,0.999919
0.264006,0.999635
0.266188,0.999351
0.26837,0.999628
0.270552,0.999906
0.272733,0.99992
0.274915,0.999934
0.277097,0.999942
0.279279,0.99995
0.281461,0.999952
0.283643,0.999955
0.285825,0.999843
0.288007,0.999732
0.290188,0.999757
0.29237,0.999783
0.294552,0.999776
0.296734,0.999769
0.298916,0.999765
0.301098,0.999761
0.30328,0.999752
0.305461,0.999743
0.307643,0.999736
0.309825,0.999729
0.312007,0.999666
0.314189,0.999603
0.316371,0.999766
0.318553,0.99993
0.320735,0.999939
0.322916,0.999949
0.325098,0.999953
0.32728,0.999956
0.329462,0.999962
0.331644,0.999967
0.333826,0.999969
0.336008,0.999971
0.338189,0.999897
0.340371,0.999824
0.342553,0.99984
0.344735,0.999856
0.346917,0.999849
0.349099,0.999842
0.351281,0.999839
0.353463,0.999837
0.355644,0.999801
0.357826,0.999766
0.360008,0.999862
0.36219,0.999959
0.364372,0.999965
0.366554,0.999971
0.368736,0.999974
0.370918,0.999976
0.373099,0.999979
0.375281,0.999983
0.377463,0.999984
0.379645,0.999985
0.381827,0.999947
0.384009,0.99991
0.386191,0.999919
0.388372,0.999928
0.390554,0.999925
0.392736,0.999923
0.394918,0.999922
0.3971,0.99992
0.399282,0.999917
0.401464,0.999914
0.403646,0.99991
0.405827,0.999905
0.408009,0.999898
0.410191,0.999891
0.412373,0.999879
0.414555,0.999868
0.416737,0.999848
0.418919,0.999828
0.4211,0.999791
0.423282,0.999753
0.425464,0.999662
0.427646,0.99957
0.429828,0.999259
0.43201,0.998947
0.434192,0.94337
0.436374,0.887792
time,/kp
0,0.00557768
0.00218187,0.00375979
0.00436374,0.0019419
0.0065456,0.00218667
0.00872747,0.00243144
0.0109093,0.00279861
0.0130912,0.00316578
0.0152731,0.00387148
0.0174549,0.00457719
0.0196368,0.00565034
0.0218187,0.00672349
0.0240005,0.00772869
0.0261824,0.0087339
0.0283643,0.00984482
0.0305461,0.0109557
0.032728,0.0130879
0.0349099,0.0152201
0.0370918,0.0178604
0.0392736,0.0205008
0.0414555,0.101226
0.0436374,0.181951
0.0458192,0.580779
0.0480011,0.979608
0.050183,0.985163
0.0523648,0.990718
0.0545467,0.992319
0.0567286,0.993921
0.0589104,0.994899
0.0610923,0.995876
0.0632742,0.996451
