t,ang,vel,E,tou,act,fac,opt,power,coord,spT,spP
0,-0.872665,0,0.000258192,0,0,1,118.892,0,q1,72.8831,0
0.0005,-0.872664,0.00221567,0.000245269,0.0013294,1.1184e-05,0.999789,118.891,2.9455e-06,q1,72.883,-0.161485
0.001,-0.872662,0.00452475,0.000232345,0.00253088,2.12967e-05,0.999568,118.891,1.14516e-05,q1,72.8828,-0.329777
0.0015,-0.87266,0.00694917,0.000219421,0.00361014,3.03857e-05,0.999337,118.89,2.50875e-05,q1,72.8824,-0.506473
0.002,-0.872655,0.00951506,0.000206497,0.00457261,3.84965e-05,0.999092,118.888,4.35087e-05,q1,72.882,-0.693477
0.0025,-0.87265,0.0122513,0.000193573,0.00542347,4.56726e-05,0.998831,118.886,6.64446e-05,q1,72.8815,-0.892893
0.003,-0.872643,0.015188,0.000180649,0.00616768,5.19555e-05,0.998551,118.883,9.36744e-05,q1,72.8808,-1.10691
0.0035,-0.872635,0.0183547,0.000167726,0.00680996,5.7385e-05,0.998249,118.88,0.000124995,q1,72.88,-1.33769
0.004,-0.872625,0.0217792,0.000154802,0.00735483,6.19989e-05,0.997922,118.875,0.000160182,q1,72.879,-1.58724
0.0045,-0.872613,0.0254857,0.000141878,0.00780664,6.58334e-05,0.997569,118.871,0.000198958,q1,72.8779,-1.85735
0.005,-0.872599,0.0294943,0.000128954,0.00816953,6.89233e-05,0.997187,118.865,0.000240954,q1,72.8766,-2.14944
0.0055,-0.872583,0.0338193,0.000118343,0.00844714,7.12987e-05,0.996774,118.859,0.000285676,q1,72.8751,-2.46458
0.006,-0.872565,0.038467,0.000118273,0.00868957,7.33821e-05,0.996331,118.852,0.000334261,q1,72.8734,-2.80322
0.0065,-0.872545,0.0434325,0.000118203,0.00892073,7.53753e-05,0.995857,118.843,0.00038745,q1,72.8715,-3.16499
0.007,-0.872522,0.0487054,0.000118133,0.00914045,7.72768e-05,0.995354,118.834,0.000445189,q1,72.8694,-3.54913
0.0075,-0.872496,0.0542699,0.000118063,0.0093492,7.90908e-05,0.994823,118.824,0.00050738,q1,72.8671,-3.95449
0.008,-0.872468,0.0600978,0.000117993,0.00954747,8.0821e-05,0.994267,118.812,0.000573782,q1,72.8645,-4.37899
0.0085,-0.872436,0.0661513,0.000117923,0.00973571,8.24712e-05,0.99369,118.799,0.00064403,q1,72.8616,-4.81989
0.009,-0.872401,0.0723929,0.000117853,0.00991438,8.4045e-05,0.993094,118.785,0.000717732,q1,72.8585,-5.27444
0.0095,-0.872364,0.078786,0.000117783,0.0100839,8.55457e-05,0.992485,118.77,0.000794473,q1,72.8551,-5.73996
0.01,-0.872323,0.0852953,0.000117713,0.0102448,8.69767e-05,0.991864,118.754,0.000873831,q1,72.8514,-6.21389
0.0105,-0.872278,0.0918871,0.000117643,0.0103973,8.83409e-05,0.991235,118.736,0.000955378,q1,72.8475,-6.69375
0.011,-0.872231,0.0985296,0.00011744,0.0105418,8.96404e-05,0.990601,118.717,0.00103868,q1,72.8433,-7.17722
0.0115,-0.87218,0.105192,0.000117003,0.0106772,9.08659e-05,0.989966,118.696,0.00112315,q1,72.8388,-7.66203
0.012,-0.872125,0.111843,0.000116565,0.0108036,9.20176e-05,0.989332,118.674,0.00120831,q1,72.834,-8.14596
