t,ang,vel,E,tou,act,fac,opt,power,coord,spT,spP
0,-0.436332,0,0,0,0,1,409.447,0,q3,0,0
0.005,-0.439463,-1.60204,0,0,0,1.12167,409.965,-0,q3,0,0
0.01,-0.454233,-4.34283,0,0,0,1.32039,412.397,-0,q3,0,0
0.015,-0.482382,-6.82507,0,0,0,1.48139,416.982,-0,q3,0,0
0.02,-0.521568,-8.76455,0,0,0,1.5,423.313,-0,q3,0,0
0.025,-0.569273,-10.2471,8.02161e-10,5.10154e-08,7.88985e-11,1.5,431.063,-5.22759e-07,q3,0,0
0.03,-0.623364,-11.3152,5.71974e-09,7.997e-07,1.21144e-09,1.5,440.084,-9.04879e-06,q3,0,0
0.035,-0.681315,-11.7397,1.32292e-08,2.81454e-06,4.17026e-09,1.5,449.938,-3.30419e-05,q3,0,0
0.04,-0.740184,-11.8057,2.64567e-08,6.64039e-06,9.6256e-09,1.5,459.912,-7.83945e-05,q3,0,0
0.045,-0.799392,-11.8782,5.30537e-08,1.41588e-05,2.00981e-08,1.5,469.656,-0.000168181,q3,0,0
0.05,-0.858957,-11.9451,0.0710137,1.75016,0.00243578,1.5,479.014,-20.9058,q3,0,0
0.055,-0.918462,-11.7575,0.462958,83.9847,0.114721,1.5,488.053,-987.448,q3,0,0
0.06,-0.975541,-11.0464,0.0424472,123.649,0.166051,1.5,496.429,-1365.87,q3,0,0
0.065,-1.02903,-10.3665,0.00339671,117.56,0.155497,1.5,504.016,-1218.68,q3,0,0
0.07,-1.07935,-9.77525,9.70914e-08,110.747,0.144488,1.5,510.986,-1082.58,q3,0,0
0.075,-1.12689,-9.24964,6.48876e-08,104.193,0.134245,1.5,517.425,-963.746,q3,0,0
0.08,-1.17192,-8.76451,4.58497e-08,97.9215,0.124728,1.5,523.385,-858.233,q3,0,0
0.085,-1.21457,-8.29947,3.44076e-08,91.9383,0.115886,1.5,528.9,-763.04,q3,0,0
0.09,-1.2549,-7.8267,2.7951e-08,86.2429,0.107671,1.5,533.99,-674.997,q3,0,0
0.095,-1.29281,-7.33677,2.59849e-08,80.8398,0.100038,1.5,538.727,-593.103,q3,0,0
0.1,-1.32826,-6.84128,2.58401e-08,74.8395,0.0929462,1.48237,543.179,-511.998,q3,0,0
0.105,-1.36125,-6.36172,2.50179e-08,68.6584,0.0863571,1.45298,547.188,-436.786,q3,0,0
0.11,-1.39195,-5.92629,2.29089e-08,62.9858,0.0802352,1.42557,550.668,-373.272,q3,0,0
0.115,-1.4206,-5.54211,1.9006e-08,57.8102,0.0745472,1.40083,553.59,-320.391,q3,0,0
0.12,-1.44745,-5.20512,2.09333e-08,53.098,0.0692625,1.37871,556.043,-276.382,q3,0,0
0.125,-1.47274,-4.92076,2.24827e-08,48.8488,0.0643524,1.35974,558.255,-240.373,q3,0,0
0.13,-1.49675,-4.69526,2.30503e-08,45.0394,0.0597904,1.34451,560.27,-211.472,q3,0,0
0.135,-1.51979,-4.52682,2.31252e-08,41.6261,0.0555518,1.33303,562.119,-188.434,q3,0,0
0.14,-1.54211,-4.40973,2.21375e-08,38.5592,0.0516136,1.325,563.83,-170.036,q3,0,0
0.145,-1.56396,-4.33682,2.21022e-08,35.7909,0.0479547,1.31997,565.426,-155.219,q3,0,0
0.15,-1.58554,-4.30061,2.29688e-08,33.2784,0.0445551,1.31747,566.921,-143.117,q3,0,0
0.155,-1.60701,-4.29408,2.61006e-08,30.9853,0.0413966,1.31702,568.327,-133.053,q3,0,0
0.16,-1.62852,-4.31135,4.13327e-08,28.8819,0.0384619,1.31822,569.65,-124.52,q3,0,0
0.165,-1.65016,-4.34766,6.67761e-08,26.944,0.0357353,1.32072,570.892,-117.144,q3,0,0
0.17,-1.67202,-4.39896,0.0656672,25.5742,0.0337591,1.32426,572.057,-112.5,q3,0,0
0.175,-1.69398,-4.32468,0.711925,130.738,0.17292,1.31914,573.149,-565.4,q3,0,0
0.18,-1.71441,-3.76332,0.977219,310.018,0.421908,1.27991,574.103,-1166.7,q3,0,0
0.185,-1.73095,-2.80949,1,440.624,0.632803,1.21131,574.836,-1237.93,q3,0,0
0.19,-1.74227,-1.71072,1,498.518,0.766927,1.12984,575.32,-852.827,q3,0,0
0.195,-1.74806,-0.613571,1,513.361,0.85206,1.04679,575.563,-314.983,q3,0,0
0.2,-1.74852,0.416452,1,504.964,0.906097,0.96823,575.582,210.293,q3,0,-0
0.205,-1.74406,1.35108,1,485.5,0.940396,0.897246,575.396,655.95,q3,0,-0
0.21,-1.73518,2.18136,1,461.973,0.962167,0.834995,575.019,1007.73,q3,0,-0
0.215,-1.72241,2.90922,1,438.113,0.975986,0.781414,574.462,1274.57,q3,0,-0
0.22,-1.70625,3.54222,1,415.707,0.984758,0.735785,573.729,1472.53,q3,0,-0
0.225,-1.68713,4.0907,1,395.449,0.990325,0.697103,572.817,1617.66,q3,0,-0
0.23,-1.66546,4.56621,1,377.445,0.993859,0.664276,571.716,1723.5,q3,0,-0
0.235,-1.6415,5.03081,1,359.596,0.996102,0.632888,570.406,1809.06,q3,0,-0
0.24,-1.6149,5.63319,1,336.624,0.997526,0.593259,568.822,1896.27,q3,0,-0
0.245,-1.58504,6.31722,1,311.181,0.99843,0.549792,566.888,1965.8,q3,0,-0
0.25,-1.55172,7.00438,1,286.404,0.999003,0.507827,564.543,2006.08,q3,0,-0
0.255,-1.51507,7.64905,1,263.877,0.999367,0.470041,561.747,2018.41,q3,0,-0
0.26,-1.47534,8.22767,1,244.203,0.999598,0.43744,558.478,2009.22,q3,0,-0
0.265,-1.43294,8.69784,1,228.416,0.999745,0.411863,554.734,1986.73,q3,0,-0
0.27,-1.38954,8.48702,1,232.911,0.999838,0.423231,550.406,1976.72,q3,0,-0
0.275,-1.34945,7.4695,1,262.17,0.999897,0.48041,545.778,1958.28,q3,0,-0
0.28,-1.31521,6.21957,1,301.025,0.999935,0.555895,541.549,1872.24,q3,0,-0
0.285,-1.28705,5.10236,1,337.914,0.999959,0.628117,538.001,1724.16,q3,0,-0
0.29,-1.26347,4.3937,1,361.745,0.999974,0.676105,535.057,1589.4,q3,0,-0
0.295,-1.24254,4.02829,1,373.482,0.999983,0.701461,532.443,1504.49,q3,0,-0
0.3,-1.22281,3.89283,1,376.769,0.999989,0.71096,529.95,1466.7,q3,0,-0
0.305,-1.20337,3.90178,1,374.671,0.999993,0.710331,527.464,1461.89,q3,0,-0
0.31,-1.18364,3.9993,1,369.27,0.999996,0.703489,524.914,1476.82,q3,0,-0
0.315,-1.16329,4.15125,1,361.86,0.999997,0.692885,522.253,1502.17,q3,0,-0
0.32,-1.14207,4.33756,1,353.212,0.999998,0.679975,519.45,1532.08,q3,0,-0
0.325,-1.11987,4.54706,1,343.763,0.999999,0.665585,516.483,1563.11,q3,0,-0
0.33,-1.09658,4.77407,1,333.744,0.999999,0.650148,513.336,1593.31,q3,0,-0
0.335,-1.07211,5.01523,1,323.299,1,0.633929,509.992,1621.42,q3,0,-0
0.34,-1.0464,5.27056,1,312.456,1,0.616968,506.439,1646.82,q3,0,-0
0.345,-1.01937,5.54438,1,301.105,1,0.599024,502.66,1669.44,q3,0,-0
0.35,-0.990923,5.83797,1,289.244,1,0.580072,498.635,1688.6,q3,0,-0
0.355,-0.960954,6.15352,1,276.838,1,0.560042,494.317,1703.53,q3,0,-0
0.36,-0.929346,6.49402,1,263.851,1,0.53883,489.673,1713.45,q3,0,-0
0.365,-0.895973,6.85958,1,250.346,1,0.516526,484.673,1717.27,q3,0,-0
0.37,-0.860702,7.25412,1,236.29,1,0.493006,479.284,1714.07,q3,0,-0
0.375,-0.823378,7.68043,1,221.697,1,0.468241,473.467,1702.73,q3,0,-0
0.38,-0.783845,8.13836,1,206.658,1,0.442391,467.139,1681.86,q3,0,-0
0.385,-0.741933,8.63301,1,191.142,1,0.415342,460.205,1650.13,q3,0,-0
0.39,-0.697452,9.16556,1,175.292,1,0.387225,452.686,1606.65,q3,0,-0
0.395,-0.650214,9.73612,1,159.289,1,0.358244,444.639,1550.86,q3,0,-0
0.4,-0.600027,10.3451,1,143.316,1,0.328586,436.158,1482.62,q3,0,-0
0.405,-0.546697,10.9935,1,127.538,1,0.298419,427.38,1402.09,q3,0,-0
0.41,-0.49003,11.679,1,112.104,1,0.268051,418.22,1309.27,q3,0,-0
0.415,-0.429852,12.397,1,97.1353,1,0.237861,408.37,1204.19,q3,0,-0
0.42,-0.366024,13.1328,1,82.8833,1,0.20856,397.407,1088.49,q3,0,-0
0.425,-0.298569,13.8472,1,69.8923,1,0.181616,384.835,967.814,q3,0,-0
0.43,-0.22749,14.6146,1,57.1933,1,0.154235,370.819,835.861,q3,0,-0
0.435,-0.15187,15.7116,0.999998,41.8938,1,0.117722,355.871,658.218,q3,0,-0
