t,ang,vel,E,tou,act,fac,opt,power,coord
0,-1.5708,0,-1,0,0,1,90.6519,0,q1
0.005,-1.56986,0.380322,-1,-34.3484,-0.365264,1.03626,90.7465,-13.0635,q1
0.01,-1.56687,0.838816,-1,-58.7065,-0.59711,1.07985,91.0475,-49.244,q1
0.015,-1.56117,1.4731,-1,-77.7076,-0.744271,1.13964,91.6148,-114.471,q1
0.02,-1.55179,2.31459,-1,-94.3666,-0.837679,1.21742,92.5336,-218.42,q1
0.025,-1.53772,3.34109,-1,-110.204,-0.896969,1.30886,93.8695,-368.2,q1
0.03,-1.51817,4.49285,-1,-125.631,-0.934603,1.40563,95.6308,-564.439,q1
0.035,-1.49288,5.58753,-1,-139.647,-0.95849,1.49098,97.7177,-780.282,q1
0.04,-1.46252,6.55481,-1,-146.028,-0.973652,1.5,99.9866,-957.187,q1
0.045,-1.42736,7.50773,-1,-151.008,-0.983276,1.5,102.384,-1133.73,q1
0.05,-1.38745,8.45589,-1,-155.261,-0.989385,1.5,104.618,-1312.87,q1
0.055,-1.34308,9.20669,-1,-158.715,-0.993262,1.5,106.528,-1461.24,q1
0.06,-1.29637,9.42438,-1,-161.308,-0.995723,1.5,108.001,-1520.23,q1
0.065,-1.24902,9.5049,-1,-163.078,-0.997285,1.5,109.015,-1550.04,q1
0.07,-1.20141,9.53048,-1,-163.465,-0.998277,1.5,109.165,-1557.9,q1
0.075,-1.1538,9.50466,-1,-163.647,-0.998906,1.5,109.217,-1555.41,q1
0.08,-1.10648,9.41353,-1,-163.631,-0.999306,1.5,109.163,-1540.35,q1
0.085,-1.05981,9.23569,-1,-163.453,-0.999559,1.5,109.017,-1509.6,q1
0.09,-1.01434,8.92649,-1,-162.577,-0.99972,1.5,108.415,-1451.24,q1
0.095,-0.970818,8.45502,-1,-161.25,-0.999822,1.5,107.519,-1363.37,q1
0.1,-0.930062,7.82045,-0.923715,-159.954,-0.998992,1.5,106.743,-1250.91,q1
0.105,-0.89284,7.05165,-0.688909,-156.659,-0.985064,1.5,106.023,-1104.7,q1
0.11,-0.859659,6.21464,-0.561736,-151.194,-0.956805,1.5,105.346,-939.617,q1
0.115,-0.830747,5.3459,-1,-146.089,-0.947157,1.47272,104.731,-780.977,q1
0.12,-0.806228,4.46001,-1,-141.247,-0.96646,1.40297,104.171,-629.961,q1
0.125,-0.786107,3.59723,-1,-135.063,-0.978711,1.33096,103.686,-485.853,q1
0.13,-0.770138,2.80445,-1,-128.564,-0.986487,1.2616,103.301,-360.551,q1
0.135,-0.757903,2.10663,-1,-122.396,-0.991423,1.1984,103.016,-257.842,q1
0.14,-0.748898,1.51305,-1,-116.91,-0.994556,1.14337,102.81,-176.89,q1
0.145,-0.7426,1.02273,-1,-112.257,-0.996544,1.09726,102.661,-114.808,q1
0.15,-0.73851,0.628396,-1,-108.466,-0.997807,1.05987,102.563,-68.1593,q1
0.155,-0.736174,0.319522,-1,-105.484,-0.998608,1.03047,102.507,-33.7043,q1
0.16,-0.735189,0.0860925,-1,-103.234,-0.999116,1.00821,102.484,-8.88767,q1
0.165,-0.735203,-0.0816848,-1,-101.628,-0.999439,0.992208,102.484,8.30149,q1
0.17,-0.735913,-0.194043,-1,-100.568,-0.999644,0.981492,102.501,19.5146,q1
0.175,-0.737504,-0.577774,-0.993012,-96.871,-0.999772,0.944939,102.539,55.9696,q1
0.18,-0.743585,-2.02567,-0.0785272,-80.2913,-0.966482,0.809042,102.684,162.644,q1
0.185,-0.758963,-4.18302,-7.27659e-08,-57.3549,-0.898177,0.619729,103.04,239.917,q1
0.19,-0.785457,-6.38105,-4.12399e-08,-39.0562,-0.834505,0.451449,103.67,249.22,q1
0.195,-0.822233,-8.26204,-2.90832e-08,-26.7019,-0.775346,0.329423,104.543,220.612,q1
0.2,-0.867351,-9.71133,-2.23508e-08,-18.8885,-0.72038,0.248518,105.506,183.432,q1
0.205,-0.918625,-10.7298,-1.79724e-08,-14.1066,-0.669312,0.19785,106.526,151.361,q1
0.21,-0.974017,-11.3692,-1.47586e-08,-11.2681,-0.621864,0.168423,107.586,128.109,q1
0.215,-1.0318,-11.6979,-1.22083e-08,-9.67115,-0.577779,0.153969,108.713,113.132,q1
0.22,-1.09059,-11.7814,-1.00782e-08,-8.80831,-0.536819,0.150365,109.123,103.774,q1
0.225,-1.1493,-11.6757,-8.24323e-09,-8.43963,-0.498764,0.154931,109.217,98.5384,q1
0.23,-1.2071,-11.4254,-6.63193e-09,-8.39252,-0.463406,0.165919,109.153,95.888,q1
0.235,-1.26354,-11.1943,-5.20677e-09,-8.26022,-0.430554,0.176297,108.822,92.4675,q1
0.24,-1.31976,-11.3547,-3.96164e-09,-7.2582,-0.400032,0.169069,107.317,82.4149,q1
0.245,-1.37749,-11.7583,-2.86438e-09,-5.91176,-0.371673,0.151359,105.087,69.5122,q1
0.25,-1.43741,-12.2071,-1.88742e-09,-4.65235,-0.345325,0.132431,101.731,56.7917,q1
0.255,-1.49945,-12.5888,-1.00716e-09,-3.64691,-0.320844,0.116942,97.1985,45.9103,q1
0.26,-1.5631,-12.8491,-2.24015e-10,-2.90766,-0.298099,0.10669,91.424,37.3608,q1
0.265,-1.62767,-12.9134,0,-2.43039,-0.276967,0.104193,84.219,31.3847,q1
0.27,-1.69026,-11.8385,0,-2.88862,-0.257332,0.147916,75.8894,34.1971,q1
0.275,-1.74393,-9.51425,0,-4.18217,-0.23909,0.258892,67.5649,39.7902,q1
0.28,-1.78494,-6.89514,0,-5.58051,-0.22214,0.416099,60.3739,38.4784,q1
0.285,-1.81323,-4.50342,0,-6.71982,-0.206392,0.593513,54.8572,30.2621,q1
0.29,-1.83104,-2.71857,0,-7.31053,-0.191761,0.746078,51.098,19.8742,q1
0.295,-1.84123,-1.423,0,-7.52729,-0.178167,0.865055,48.8392,10.7113,q1
0.3,-1.8458,-0.445145,0,-7.57835,-0.165536,0.957562,47.8095,3.37346,q1
0.305,-1.846,0.33925,0,-7.58373,-0.153801,1.03235,47.7634,-2.57278,q1
0.31,-1.84259,1.00985,0,-7.60134,-0.142898,1.09604,48.5328,-7.67623,q1
0.315,-1.83601,1.61526,0,-7.65414,-0.132768,1.15292,50.0039,-12.3634,q1
0.32,-1.8265,2.18444,0,-7.74521,-0.123356,1.20553,52.0827,-16.9189,q1
0.325,-1.8142,2.73427,0,-7.86419,-0.114611,1.25533,54.6601,-21.5028,q1
0.33,-1.79917,3.2743,0,-8.00031,-0.106486,1.30305,57.6571,-26.1954,q1
0.335,-1.78146,3.81133,0,-8.14522,-0.0989372,1.34918,61.0201,-31.0441,q1
0.34,-1.76106,4.34794,0,-8.28461,-0.0919234,1.39383,64.6598,-36.021,q1
0.345,-1.73799,4.88108,0,-8.41041,-0.0854069,1.43667,68.5436,-41.0519,q1
0.35,-1.71225,5.41247,0,-8.51571,-0.0793523,1.47779,72.6189,-46.091,q1
0.355,-1.68386,5.9433,0,-8.49402,-0.0737269,1.5,76.8062,-50.4825,q1
0.36,-1.65282,6.47443,0,-8.32729,-0.0685003,1.5,81.0438,-53.9144,q1
0.365,-1.61911,7.01168,0,-8.13913,-0.0636442,1.5,85.2566,-57.069,q1
0.37,-1.58269,7.55727,0,-7.93068,-0.0591324,1.5,89.4115,-59.9342,q1
0.375,-1.54351,8.1164,0,-7.69103,-0.0549405,1.5,93.3257,-62.4235,q1
0.38,-1.50148,8.70017,0,-7.42975,-0.0510457,1.5,97.034,-64.64,q1
0.385,-1.45646,9.31543,0,-7.14397,-0.047427,1.5,100.421,-66.5491,q1
0.39,-1.40825,9.97764,0,-6.84312,-0.0440648,1.5,103.531,-68.2782,q1
0.395,-1.35657,10.7089,0,-6.50954,-0.040941,1.5,105.999,-69.7099,q1
0.4,-1.301,11.5376,0,-6.15454,-0.0380387,1.5,107.865,-71.0089,q1
0.405,-1.24097,12.5021,0,-5.78131,-0.0353421,1.5,109.054,-72.2786,q1
0.41,-1.17566,13.6603,0,-5.37888,-0.0328366,1.5,109.205,-73.4773,q1
0.415,-1.1039,15.0982,0,-4.99539,-0.0305088,1.5,109.157,-75.4212,q1
0.42,-1.02398,16.9587,0,-4.61703,-0.028346,1.5,108.587,-78.299,q1
0.425,-0.933158,19.5129,0,-4.21916,-0.0263365,1.5,106.801,-82.3279,q1
0.43,-0.827076,23.1455,0,-3.84112,-0.0244695,1.5,104.651,-88.9045,q1
0.435,-0.698485,28.7662,-2.43206e-08,-3.46767,-0.0227348,1.5,101.684,-99.7518,q1
