time,/ap
0,0.204185
0.00583331,0.17045
0.0116666,0.136715
0.0174999,0.143358
0.0233333,0.150001
0.0291666,0.151875
0.0349999,0.153748
0.0408332,0.13915
0.0466665,0.124551
0.0524998,0.143753
0.0583331,0.162955
0.0641664,0.130859
0.0699998,0.0987642
0.0758331,0.119981
0.0816664,0.141198
0.0874997,0.130046
0.093333,0.118894
0.0991663,0.110636
0.105,0.102378
0.110833,0.117566
0.116666,0.132754
0.1225,0.125982
0.128333,0.119211
0.134166,0.138157
0.14,0.157102
0.145833,0.157242
0.151666,0.157382
0.157499,0.183085
0.163333,0.208788
0.169166,0.201746
0.174999,0.194704
0.180833,0.218218
0.186666,0.241732
0.192499,0.25736
0.198333,0.272988
0.204166,0.293834
0.209999,0.31468
0.215833,0.340142
0.221666,0.365603
0.227499,0.399208
0.233333,0.432813
0.239166,0.490952
0.244999,0.549091
0.250832,0.620107
0.256666,0.691122
0.262499,0.748683
0.268332,0.806243
0.274166,0.821045
0.279999,0.835846
0.285832,0.815475
0.291666,0.795105
0.297499,0.808737
0.303332,0.822369
0.309166,0.834127
0.314999,0.845884
0.320832,0.857702
0.326666,0.869519
0.332499,0.889236
0.338332,0.908952
0.344165,0.780227
0.349999,0.651502
0.355832,0.692077
0.361665,0.732652
0.367499,0.736078
0.373332,0.739505
0.379165,0.745802
0.384999,0.752099
0.390832,0.545681
0.396665,0.339262
0.402499,0.297339
0.408332,0.255415
0.414165,0.471529
0.419999,0.687644
0.425832,0.843695
0.431665,0.999746
0.437498,0.999805
0.443332,0.999863
0.449165,0.999887
0.454998,0.99991
0.460832,0.999929
0.466665,0.999948
0.472498,0.999958
0.478332,0.999969
0.484165,0.999973
0.489998,0.999976
0.495832,0.999978
0.501665,0.999979
0.507498,0.999979
0.513332,0.999978
0.519165,0.999977
0.524998,0.999975
0.530832,0.999975
0.536665,0.999975
0.542498,0.999978
0.548331,0.999982
0.554165,0.999986
0.559998,0.999989
0.565831,0.999945
0.571665,0.999901
0.577498,0.999942
0.583331,0.999982
0.589165,0.999985
0.594998,0.999988
0.600831,0.99999
0.606665,0.999993
0.612498,0.999994
0.618331,0.999996
0.624165,0.999978
0.629998,0.99996
0.635831,0.999977
0.641664,0.999994
0.647498,0.999996
0.653331,0.999997
0.659164,0.999998
0.664998,0.999999
0.670831,0.999993
0.676664,0.999987
0.682498,0.999984
0.688331,0.999981
0.694164,0.999894
0.699998,0.999807
time,/kp
0,0.891793
0.00583331,0.782981
0.0116666,0.674169
0.0174999,0.691141
0.0233333,0.708114
0.0291666,0.60585
0.0349999,0.503586
0.0408332,0.455064
0.0466665,0.406542
0.0524998,0.379026
0.0583331,0.35151
0.0641664,0.376081
0.0699998,0.400652
0.0758331,0.347974
0.0816664,0.295295
0.0874997,0.259469
0.093333,0.223643
0.0991663,0.188784
0.105,0.153924
0.110833,0.0771311
0.116666,0.000338049
